Company,Model,Year,Rating
audi,tt,2011,4.666666666666667
audi,tt,2012,4.5
audi,tt,2013,5.0
audi,tt,2014,4.0
audi,tt,2015,5.0
audi,tt,2016,4.8
audi,tt,2017,5.0
audi,tt,2018,3.6666666666666665
audi,tt,2019,5.0
audi,tt,2020,5.0
audi,tt-rs,2012,5.0
audi,tt-rs,2013,4.333333333333333
audi,tt-rs,2018,4.666666666666667
audi,tt-rs,2019,5.0
audi,tts,2009,4.2
audi,tts,2010,4.5
audi,tts,2012,4.0
audi,tts,2013,4.5
audi,tts,2014,5.0
audi,tts,2015,5.0
audi,tts,2016,4.666666666666667
audi,tts,2017,5.0
bentley,arnage,2001,4.2
bentley,arnage,2002,4.5
bentley,arnage,2003,4.0
bentley,arnage,2004,4.25
bentley,arnage,2005,4.0
bentley,arnage,2006,4.0
bentley,azure,2002,4.0
bentley,azure-t,2010,5.0
bentley,bentayga,2018,3.0
bentley,bentayga,2019,4.666666666666667
bentley,continental,2002,4.666666666666667
bentley,continental,2003,3.0
bentley,continental,2018,5.0
bentley,continental-flying-spur,2006,3.6666666666666665
bentley,continental-flying-spur,2007,3.75
bentley,continental-flying-spur,2008,4.0
bentley,continental-flying-spur,2009,4.0
bentley,continental-flying-spur,2010,4.0
bentley,continental-flying-spur,2012,5.0
bentley,continental-flying-spur-speed,2012,5.0
bentley,continental-gt,2004,4.083333333333333
bentley,continental-gt,2005,3.725
bentley,continental-gt,2006,4.142857142857143
bentley,continental-gt,2007,4.0
bentley,continental-gt,2008,4.0
bentley,continental-gt,2010,4.0
bentley,continental-gt-speed,2008,4.2
bentley,continental-gtc,2007,3.875
bentley,continental-gtc,2008,4.0
bentley,continental-gtc,2013,3.3333333333333335
bentley,continental-gtc-speed,2010,5.0
bentley,continental-supersports,2010,4.0
bentley,flying-spur,2014,4.5
bentley,flying-spur,2015,4.5
bentley,flying-spur,2018,4.666666666666667
bentley,mulsanne,2018,3.0
bmw,1-series,2008,4.17948717948718
bmw,1-series,2009,4.125
bmw,1-series,2010,4.0588235294117645
bmw,1-series,2011,4.121212121212121
bmw,1-series,2012,4.545454545454546
bmw,1-series,2013,4.352941176470588
bmw,1-series-m,2011,4.0
bmw,2-series,2014,4.333333333333333
bmw,2-series,2015,4.695652173913044
bmw,2-series,2016,4.411764705882353
bmw,2-series,2017,4.7
bmw,2-series,2018,5.0
bmw,2-series,2019,5.0
bmw,2-series,2020,4.75
bmw,2-series-gran-coupe,2020,4.5
bmw,3-series,2000,4.105
bmw,3-series,2001,4.07
bmw,3-series,2002,4.05
bmw,3-series,2003,4.095
bmw,3-series,2004,4.13
bmw,3-series,2005,4.224719101123595
bmw,3-series,2006,3.905
bmw,3-series,2007,3.925
bmw,3-series,2008,4.055
bmw,3-series,2009,4.068181818181818
bmw,3-series,2010,4.0
bmw,3-series,2011,3.934959349593496
bmw,3-series,2012,4.103448275862069
bmw,3-series,2013,3.8
bmw,3-series,2014,4.183333333333334
bmw,3-series,2015,3.918918918918919
bmw,3-series,2016,4.416666666666667
bmw,3-series,2017,4.0
bmw,3-series,2018,4.304347826086956
bmw,3-series,2019,4.25
bmw,3-series,2020,4.48
bmw,3-series-edrive,2016,5.0
bmw,3-series-gran-turismo,2014,4.722222222222222
bmw,3-series-gran-turismo,2015,4.0
bmw,3-series-gran-turismo,2016,4.2727272727272725
bmw,3-series-gran-turismo,2017,4.0
bmw,3-series-gran-turismo,2018,4.333333333333333
bmw,4-series,2014,4.7727272727272725
bmw,4-series,2015,4.416666666666667
bmw,4-series,2016,4.714285714285714
bmw,4-series,2017,4.5
bmw,4-series,2018,4.666666666666667
bmw,4-series,2019,4.166666666666667
bmw,4-series,2020,5.0
bmw,4-series-gran-coupe,2015,4.4
bmw,4-series-gran-coupe,2016,4.625
bmw,4-series-gran-coupe,2017,4.4
bmw,4-series-gran-coupe,2018,4.4
bmw,4-series-gran-coupe,2019,4.857142857142857
bmw,5-series,2000,4.173076923076923
bmw,5-series,2001,4.2592592592592595
bmw,5-series,2002,4.2215189873417724
bmw,5-series,2003,4.26
bmw,5-series,2004,4.33
bmw,5-series,2005,4.126666666666667
bmw,5-series,2006,4.307228915662651
bmw,5-series,2007,4.230769230769231
bmw,5-series,2008,4.01
bmw,5-series,2009,3.739130434782609
bmw,5-series,2010,4.127659574468085
bmw,5-series,2011,3.621359223300971
bmw,5-series,2012,3.4411764705882355
bmw,5-series,2013,3.6666666666666665
bmw,5-series,2014,4.523809523809524
bmw,5-series,2015,4.583333333333333
bmw,5-series,2016,4.294117647058823
bmw,5-series,2017,4.4
bmw,5-series,2018,4.348837209302325
bmw,5-series,2019,4.166666666666667
bmw,5-series,2020,4.5
bmw,5-series-gran-turismo,2010,4.416666666666667
bmw,5-series-gran-turismo,2011,4.2727272727272725
bmw,5-series-gran-turismo,2012,4.0
bmw,5-series-gran-turismo,2013,5.0
bmw,5-series-gran-turismo,2014,5.0
bmw,5-series-gran-turismo,2016,5.0
bmw,5-series-gran-turismo,2017,5.0
bmw,6-series,2004,4.26984126984127
bmw,6-series,2005,4.148648648648648
bmw,6-series,2006,4.232558139534884
bmw,6-series,2007,4.0
bmw,6-series,2008,4.230769230769231
bmw,6-series,2009,4.666666666666667
bmw,6-series,2010,4.333333333333333
bmw,6-series,2012,4.230769230769231
bmw,6-series,2013,4.0
bmw,6-series,2014,3.4
bmw,6-series,2015,4.666666666666667
bmw,6-series,2016,4.833333333333333
bmw,6-series,2017,3.0
bmw,6-series-gran-coupe,2013,4.4
bmw,6-series-gran-coupe,2014,3.6666666666666665
bmw,6-series-gran-coupe,2015,4.666666666666667
bmw,6-series-gran-coupe,2016,5.0
bmw,6-series-gran-coupe,2017,5.0
bmw,6-series-gran-turismo,2018,4.333333333333333
bmw,6-series-gran-turismo,2019,5.0
bmw,7-series,2000,4.02
bmw,7-series,2001,4.228571428571429
bmw,7-series,2002,3.9805825242718447
bmw,7-series,2003,3.992063492063492
bmw,7-series,2004,3.954954954954955
